x,y,z,section,order,x_norm,z_norm
0.21527621527621527,0.09402509402509403,0.0,UPPER,55,0.21527621527621527,0.09402509402509403
0.2016862016862017,0.09231209231209232,0.0,UPPER,56,0.2016862016862017,0.09231209231209232
0.18850718850718853,0.0905100905100905,0.0,UPPER,57,0.18850718850718853,0.0905100905100905
0.17580017580017582,0.08860408860408861,0.0,UPPER,58,0.17580017580017582,0.08860408860408861
0.16357016357016357,0.08658008658008659,0.0,UPPER,59,0.16357016357016357,0.08658008658008659
0.1518271518271518,0.08447008447008447,0.0,UPPER,60,0.1518271518271518,0.08447008447008447
0.14063514063514065,0.08232708232708233,0.0,UPPER,61,0.14063514063514065,0.08232708232708233
0.13006613006613005,0.08017308017308017,0.0,UPPER,62,0.13006613006613005,0.08017308017308017
0.12015612015612016,0.07801607801607802,0.0,UPPER,63,0.12015612015612016,0.07801607801607802
0.11091011091011091,0.07585807585807586,0.0,UPPER,64,0.11091011091011091,0.07585807585807586
0.1023081023081023,0.07369707369707369,0.0,UPPER,65,0.1023081023081023,0.07369707369707369
0.09431609431609432,0.07153407153407154,0.0,UPPER,66,0.09431609431609432,0.07153407153407154
0.0868960868960869,0.06937806937806938,0.0,UPPER,67,0.0868960868960869,0.06937806937806938
0.08000808000808,0.06724506724506725,0.0,UPPER,68,0.08000808000808,0.06724506724506725
0.07361607361607361,0.06514306514306516,0.0,UPPER,69,0.07361607361607361,0.06514306514306516
0.06768806768806769,0.06307806307806307,0.0,UPPER,70,0.06768806768806769,0.06307806307806307
0.06218806218806219,0.061042061042061044,0.0,UPPER,71,0.06218806218806219,0.061042061042061044
0.05708105708105708,0.05902705902705903,0.0,UPPER,72,0.05708105708105708,0.05902705902705903
0.05233405233405233,0.057029057029057036,0.0,UPPER,73,0.05233405233405233,0.057029057029057036
0.047914047914047915,0.055046055046055045,0.0,UPPER,74,0.047914047914047915,0.055046055046055045
0.0437960437960438,0.05306905306905307,0.0,UPPER,75,0.0437960437960438,0.05306905306905307
0.03995803995803996,0.051089051089051096,0.0,UPPER,76,0.03995803995803996,0.051089051089051096
0.03637903637903638,0.049096049096049095,0.0,UPPER,77,0.03637903637903638,0.049096049096049095
0.033038033038033036,0.0470920470920471,0.0,UPPER,78,0.033038033038033036,0.0470920470920471
0.029913029913029913,0.04508304508304508,0.0,UPPER,79,0.029913029913029913,0.04508304508304508
0.026985026985026986,0.043077043077043076,0.0,UPPER,80,0.026985026985026986,0.043077043077043076
0.02423802423802424,0.04108104108104108,0.0,UPPER,81,0.02423802423802424,0.04108104108104108
0.021662021662021663,0.0390960390960391,0.0,UPPER,82,0.021662021662021663,0.0390960390960391
0.019250019250019252,0.03711603711603712,0.0,UPPER,83,0.019250019250019252,0.03711603711603712
0.016998016998016997,0.03513703513703514,0.0,UPPER,84,0.016998016998016997,0.03513703513703514
0.0149000149000149,0.03315603315603315,0.0,UPPER,85,0.0149000149000149,0.03315603315603315
0.012953012953012955,0.03117003117003117,0.0,UPPER,86,0.012953012953012955,0.03117003117003117
0.01115001115001115,0.02917802917802918,0.0,UPPER,87,0.01115001115001115,0.02917802917802918
0.009493009493009495,0.02717802717802718,0.0,UPPER,88,0.009493009493009495,0.02717802717802718
0.007981007981007981,0.025166025166025167,0.0,UPPER,89,0.007981007981007981,0.025166025166025167
0.006618006618006618,0.02313902313902314,0.0,UPPER,90,0.006618006618006618,0.02313902313902314
0.005408005408005408,0.021096021096021097,0.0,UPPER,91,0.005408005408005408,0.021096021096021097
0.004349004349004349,0.01903901903901904,0.0,UPPER,92,0.004349004349004349,0.01903901903901904
0.003433003433003433,0.01697601697601698,0.0,UPPER,93,0.003433003433003433,0.01697601697601698
0.002644002644002644,0.014917014917014916,0.0,UPPER,94,0.002644002644002644,0.014917014917014916
0.001964001964001964,0.01287001287001287,0.0,UPPER,95,0.001964001964001964,0.01287001287001287
0.0013850013850013852,0.010842010842010842,0.0,UPPER,96,0.0013850013850013852,0.010842010842010842
0.000905000905000905,0.008834008834008833,0.0,UPPER,97,0.000905000905000905,0.008834008834008833
0.000525000525000525,0.006848006848006848,0.0,UPPER,98,0.000525000525000525,0.006848006848006848
0.000247000247000247,0.004887004887004887,0.0,UPPER,99,0.000247000247000247,0.004887004887004887
0.025708025708025706,-0.02722102722102722,0.0,LOWER,100,0.025708025708025706,-0.02722102722102722
0.028647028647028647,-0.028487028487028485,0.0,LOWER,101,0.028647028647028647,-0.028487028487028485
0.03176203176203176,-0.029766029766029767,0.0,LOWER,102,0.03176203176203176,-0.029766029766029767
0.03507603507603507,-0.031040031040031044,0.0,LOWER,103,0.03507603507603507,-0.031040031040031044
0.038617038617038614,-0.032289032289032286,0.0,LOWER,104,0.038617038617038614,-0.032289032289032286
0.042417042417042417,-0.033503033503033505,0.0,LOWER,105,0.042417042417042417,-0.033503033503033505
0.0465000465000465,-0.03470503470503471,0.0,LOWER,106,0.0465000465000465,-0.03470503470503471
0.05089205089205089,-0.035937035937035934,0.0,LOWER,107,0.05089205089205089,-0.035937035937035934
0.055616055616055614,-0.037227037227037234,0.0,LOWER,108,0.055616055616055614,-0.037227037227037234
0.060701060701060704,-0.038579038579038584,0.0,LOWER,109,0.060701060701060704,-0.038579038579038584
0.0661820661820662,-0.03998103998103999,0.0,LOWER,110,0.0661820661820662,-0.03998103998103999
0.0721000721000721,-0.041418041418041424,0.0,LOWER,111,0.0721000721000721,-0.041418041418041424
0.0785020785020785,-0.04286704286704287,0.0,LOWER,112,0.0785020785020785,-0.04286704286704287
0.08544408544408544,-0.044315044315044315,0.0,LOWER,113,0.08544408544408544,-0.044315044315044315
0.09298709298709298,-0.04575904575904576,0.0,LOWER,114,0.09298709298709298,-0.04575904575904576
0.10119410119410119,-0.0472010472010472,0.0,LOWER,115,0.10119410119410119,-0.0472010472010472
0.11012811012811013,-0.04864804864804865,0.0,LOWER,116,0.11012811012811013,-0.04864804864804865
0.11983911983911984,-0.05011705011705012,0.0,LOWER,117,0.11983911983911984,-0.05011705011705012
0.13032413032413032,-0.05163305163305163,0.0,LOWER,118,0.13032413032413032,-0.05163305163305163
0.14151114151114152,-0.053170053170053175,0.0,LOWER,119,0.14151114151114152,-0.053170053170053175
0.15333015333015332,-0.05466205466205466,0.0,LOWER,120,0.15333015333015332,-0.05466205466205466
0.16576716576716577,-0.05605705605705606,0.0,LOWER,121,0.16576716576716577,-0.05605705605705606
0.17881717881717882,-0.05737105737105737,0.0,LOWER,122,0.17881717881717882,-0.05737105737105737
0.1924031924031924,-0.05861305861305861,0.0,LOWER,123,0.1924031924031924,-0.05861305861305861
0.20642620642620643,-0.059780059780059784,0.0,LOWER,124,0.20642620642620643,-0.059780059780059784
0.2207802207802208,-0.06085706085706086,0.0,LOWER,125,0.2207802207802208,-0.06085706085706086
0.23537923537923539,-0.061823061823061826,0.0,LOWER,126,0.23537923537923539,-0.061823061823061826
0.2501782501782502,-0.06265806265806266,0.0,LOWER,127,0.2501782501782502,-0.06265806265806266
0.26517726517726525,-0.06335506335506336,0.0,LOWER,128,0.26517726517726525,-0.06335506335506336
0.2803822803822804,-0.06392306392306392,0.0,LOWER,129,0.2803822803822804,-0.06392306392306392
0.29578529578529583,-0.06437506437506438,0.0,LOWER,130,0.29578529578529583,-0.06437506437506438
0.3113513113513114,-0.06472606472606474,0.0,LOWER,131,0.3113513113513114,-0.06472606472606474
0.32702832702832707,-0.06498006498006498,0.0,LOWER,132,0.32702832702832707,-0.06498006498006498
0.34277634277634283,-0.06513306513306513,0.0,LOWER,133,0.34277634277634283,-0.06513306513306513
0.3585653585653586,-0.0651850651850652,0.0,LOWER,134,0.3585653585653586,-0.0651850651850652
0.3743753743753744,-0.06513306513306513,0.0,LOWER,135,0.3743753743753744,-0.06513306513306513
0.3901843901843902,-0.06497806497806498,0.0,LOWER,136,0.3901843901843902,-0.06497806497806498
0.405976405976406,-0.06471906471906472,0.0,LOWER,137,0.405976405976406,-0.06471906471906472
0.4217324217324218,-0.06435706435706436,0.0,LOWER,138,0.4217324217324218,-0.06435706435706436
0.4374314374314375,-0.0638900638900639,0.0,LOWER,139,0.4374314374314375,-0.0638900638900639
0.45305045305045305,-0.06332006332006332,0.0,LOWER,140,0.45305045305045305,-0.06332006332006332
0.4685584685584686,-0.06264506264506266,0.0,LOWER,141,0.4685584685584686,-0.06264506264506266
0.483929483929484,-0.06186106186106186,0.0,LOWER,142,0.483929483929484,-0.06186106186106186
0.4991404991404992,-0.06096506096506096,0.0,LOWER,143,0.4991404991404992,-0.06096506096506096
0.5141685141685142,-0.05994705994705995,0.0,LOWER,144,0.5141685141685142,-0.05994705994705995
0.529009529009529,-0.05878905878905879,0.0,LOWER,145,0.529009529009529,-0.05878905878905879
0.5437005437005437,-0.05746105746105746,0.0,LOWER,146,0.5437005437005437,-0.05746105746105746
0.5583275583275583,-0.05593405593405593,0.0,LOWER,147,0.5583275583275583,-0.05593405593405593
0.573003573003573,-0.05420805420805421,0.0,LOWER,148,0.573003573003573,-0.05420805420805421
0.5877685877685878,-0.05231105231105231,0.0,LOWER,149,0.5877685877685878,-0.05231105231105231
0.6026316026316025,-0.05022505022505023,0.0,LOWER,150,0.6026316026316025,-0.05022505022505023
0.6176856176856176,-0.04794204794204794,0.0,LOWER,151,0.6176856176856176,-0.04794204794204794
0.632981632981633,-0.04548804548804549,0.0,LOWER,152,0.632981632981633,-0.04548804548804549
0.6484936484936485,-0.042905042905042906,0.0,LOWER,153,0.6484936484936485,-0.042905042905042906
0.6641546641546642,-0.04021104021104021,0.0,LOWER,154,0.6641546641546642,-0.04021104021104021
0.67991067991068,-0.03742503742503742,0.0,LOWER,155,0.67991067991068,-0.03742503742503742
0.6956666956666957,-0.034606034606034605,0.0,LOWER,156,0.6956666956666957,-0.034606034606034605
0.7112467112467112,-0.031822031822031825,0.0,LOWER,157,0.7112467112467112,-0.031822031822031825
0.7265907265907265,-0.02899002899002899,0.0,LOWER,158,0.7265907265907265,-0.02899002899002899
0.7416907416907417,-0.026148026148026148,0.0,LOWER,159,0.7416907416907417,-0.026148026148026148
0.7564707564707565,-0.02347002347002347,0.0,LOWER,160,0.7564707564707565,-0.02347002347002347
0.7710267710267711,-0.020987020987020988,0.0,LOWER,161,0.7710267710267711,-0.020987020987020988
0.7855037855037855,-0.01843101843101843,0.0,LOWER,162,0.7855037855037855,-0.01843101843101843
0.7998147998147999,-0.015908015908015907,0.0,LOWER,163,0.7998147998147999,-0.015908015908015907
0.8138408138408139,-0.0135980135980136,0.0,LOWER,164,0.8138408138408139,-0.0135980135980136
0.8276798276798276,-0.011521011521011522,0.0,LOWER,165,0.8276798276798276,-0.011521011521011522
0.8413378413378414,-0.00963800963800964,0.0,LOWER,166,0.8413378413378414,-0.00963800963800964
0.8547428547428547,-0.007932007932007932,0.0,LOWER,167,0.8547428547428547,-0.007932007932007932
0.8678038678038679,-0.006415006415006415,0.0,LOWER,168,0.8678038678038679,-0.006415006415006415
0.8804578804578804,-0.0051090051090051086,0.0,LOWER,169,0.8804578804578804,-0.0051090051090051086
0.8926778926778927,-0.004043004043004043,0.0,LOWER,170,0.8926778926778927,-0.004043004043004043
